"HolderAddress","Balance","PendingBalanceUpdate"
"0x082acffb521180d9244246c9f16438f8215b7917","1572.7131559224","No"
"0x0c50a490b070e1af52e258a4253d208bc9aeb76d","1543.78450398315","No"
"0x0eaec7f07c7302778c2454e99477bce8d1c5b31a","9.99933708885419","No"
"0x2848b9f2d4faebaa4838c41071684c70688b455d","4999.80347128841","No"
"0x2e1440d9fb2930ea27b469ab699e1a973eecd562","1.65338007556581","No"
"0x410ef4df49583daeec7a3cb09f85c2a9ee658afd","799.968483884996","No"
"0x5ab0e4e355b08e692933c1f6f85fd0be56ad18a6","28.4151274433635","No"
"0x657dc5ef1d093dd58fc59b1d8fe6c7be5ef72614","120.562410469216","No"
"0x69ee93c3f81c1ac0a5439752c7429306266b589d","60.2431806392475","No"
"0x8de18c780f1d1960a106d673e3360e29888a0ad5","2426.38652038505","No"
"0x986e7f524b2833d21713346040721873be1eb459","3354.39243642624","No"
"0xabad20f0d70206d98bcdf42e57f5580599594261","199.990696919036","No"
"0xd3537fad2ecc9c4dee9235dbca08e6dce3cc4f36","803.398020442703","No"
"0xef907c55b7ac690219b81c8339926bbadb3edab7","803.397916238528","No"
"0xfc1ca508a0e36e362cdbf17780ea8db796fc0740","999.98183270862","No"
